url,AKA,Appeared in,BasicTraits,Gender,Hits,Japanese Name,┗ AfterAvalon le Fae,┗ Costume 1,┗ Costume 1 ~ 2,┗ Costume 1 ~ 3,┗ Costume 2,┗ Costume 3,┗ Default,┗ Except Paladin,┗ London Demon Pillar,┗ Paladin,┗ Sesshōin Kiara,┗ Stage 1,┗ Stage 1 / Costume 1,┗ Stage 1 ~ 2,┗ Stage 1 ~ 3,"┗ Stage 1, 3","┗ Stage 1, 3, Costume 1","┗ Stage 1, Costume 1",┗ Stage 1-2,┗ Stage 2,┗ Stage 2 ~ 3,┗ Stage 2 ~ 3 / Costume 1,┗ Stage 2-3,┗ Stage 3,┗ Stage 3 / Costume 1,┗ Stage 3 / Costume 3,┗ Super Aoko,┗Avalon le FaeNPC,┗Jekyll,┗S I NNPC,┗ShimosaNPC,┗TraumNPC,┗Yuga KshetraNPC
https://fategrandorder.fandom.com/wiki/Mashu_Kyrielight,"AKA:Also Known AsMash KyrielightMash KyrielightNA Localization, Mashu Kirielite, Mash,Fairy Knight Galahad(妖精騎士ギャラハッド??),Shielder Paladin(シールダー・パラディーン??)",,"Costume-Owning,Demi-Servant,Hominidae Servant,Humanoid,Living Human,Riding,Servant,Weak to Enuma Elish",Female,22|22|11|33,マシュ・キリエライト,,,Summer Mode Servant,,,,,Round Table Knight,,Defender,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Artoria_Pendragon,"AKA:Also Known AsKing of Knights of the Holy Sword(聖剣の騎士王,Seiken no Kishi-ō??),King of Knights(騎士王,Kishi-ō??),Altria PendragonAltria PendragonNA Localization, King Arthur, Blue Saber",,"Arthur,Artoria Face,Costume-Owning,Dragon,Fate/stay night Servant,Hominidae Servant,Humanoid,King,Riding,Round Table Knight,Servant,Seven Knights Servant,Weak to Enuma Elish",Female,22|22|11|33,アルトリア・ペンドラゴン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Artoria_Pendragon_(Alter),"AKA:Also Known AsSaber AlterSaber AlterBattle Name, Dark-Tainted Tyrant, Artoria Alter, Black Saber, Salter,Altria Pendragon (Alter)Altria Pendragon (Alter)NA Localization",,"Arthur,Artoria Face,Costume-Owning,Dragon,Fate/stay night Servant,Hominidae Servant,Humanoid,King,Round Table Knight,Servant,Seven Knights Servant,Weak to Enuma Elish",Female,22|22|11|33,アルトリア・ペンドラゴン〔オルタ〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Artoria_Pendragon_(Lily),"AKA:Also Known AsSaber LilySaber LilyBattle Name, Artoria Lily,Altria Pendragon (Lily)Altria Pendragon (Lily)NA Localization",,"Arthur,Artoria Face,Dragon,Hominidae Servant,Humanoid,King,Riding,Servant,Seven Knights Servant,Weak to Enuma Elish",Female,22|22|11|33,アルトリア・ペンドラゴン〔リリィ〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Nero_Claudius,"AKA:Also Known AsEmperor of Roses(薔薇の皇帝,Bara no Kōtei??),NeroNeroBattle Name, Red Saber, Nero Claudius Caesar Augustus Germanicus",,"Artoria Face,Costume-Owning,Hominidae Servant,Humanoid,King,Riding,Roman,Servant,Seven Knights Servant,Weak to Enuma Elish",Female,22|22|11|55,ネロ・クラウディウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Siegfried,"AKA:Also Known AsSigurd,Tenacious Dragon Slayer(不撓不屈の竜殺し,Futō Fukutsu no Ryū Goroshi??)Saber of Black, Dragon-Blooded Knight",,"Costume-Owning,Dragon,Dragon Slayer,Hominidae Servant,Humanoid,King,Loved One,Riding,Servant,Seven Knights Servant,Weak to Enuma Elish",Male,22|22|11|33,ジークフリート,,Summer Mode Servant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Gaius_Julius_Caesar,"AKA:Also Known AsCaesarCaesarBattle Name, Julius Caesar, Red Saber (Self-Proclaimed)",,"Divinity,Hominidae Servant,Humanoid,King,Loved One,Riding,Roman,Servant,Seven Knights Servant,Weak to Enuma Elish",Male,22|22|11|33,ガイウス・ユリウス・カエサル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Altera,"AKA:Also Known AsGreat King of Destruction(破壞の大王,Hakai no Daiō??)Attila the Hun, Destroyer of Civilization, Etzel, King of Combat",,"Costume-Owning,Divinity,Hominidae Servant,Humanoid,King,Riding,Servant,Seven Knights Servant,Weak to Enuma Elish",Female,22|22|11|33,アルテラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Gilles_de_Rais_(Saber),AKA:Also Known AsGillesGillesBattle Name,,"Hominidae Servant,Humanoid,Loved One,Riding,Servant,Seven Knights Servant,Weak to Enuma Elish",Male,22|22|11|33,ジル・ド・レェ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://fategrandorder.fandom.com/wiki/Chevalier_d%27Eon,"AKA:Also Known Asd'Eond'EonBattle Name, Knight of the White Lily, Maid Knight, Charles-Geneviève-Louis-Auguste-André-Timothée d'Éon de Beaumont",,"Feminine Looking,Hominidae Servant,Humanoid,Riding,Servant,Seven Knights Servant,Weak to Enuma Elish",Unknown,22|22|11|33,シュヴァリエ・デオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
